path,label,speaker,domain
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/201.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/202.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/203.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/204.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/205.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/206.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/207.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/208.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/209.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/210.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/211.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/212.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/213.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/214.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/215.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/216.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/217.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/218.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/219.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/220.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/221.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/222.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/223.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/224.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/225.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/226.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/227.wav,angry,ZhaoZuoxiang,0
CASIA/CASIA中文语音情感识别/CASIA database/ZhaoZuoxiang/angry/228.wav,angry,ZhaoZuoxiang,0
